283559,4308325
283555,4308321
283557,4308323
283554,4308320
283561,4308327
283556,4308322
283558,4308324
283560,4308326
283562,4308328
283569,4308335
283571,4308337
283566,4308332
283568,4308334
283565,4308331
283564,4308330
283570,4308336
283567,4308333
283563,4308329
283576,4308342
283578,4308344
283577,4308343
283574,4308340
283580,4308346
283572,4308338
283575,4308341
283573,4308339
283579,4308345
283586,4308352
283587,4308353
283582,4308348
283581,4308347
283589,4308355
283583,4308349
283584,4308350
283588,4308354
283585,4308351
283590,4308356
283594,4308360
283591,4308357
283593,4308359
283592,4308358
283596,4308362
283598,4308364
283595,4308361
283597,4308363
283604,4308370
283601,4308367
283600,4308366
283606,4308372
283602,4308368
283603,4308369
283599,4308365
283607,4308373
283605,4308371
283611,4308377
283608,4308374
283612,4308378
283613,4308379
283615,4308381
283609,4308375
283616,4308382
283614,4308380
283610,4308376
283619,4308385
283618,4308384
283625,4308391
283623,4308389
283624,4308390
283620,4308386
283621,4308387
283617,4308383
283622,4308388
283628,4308394
283633,4308399
283630,4308396
283627,4308393
283631,4308397
283632,4308398
283629,4308395
283634,4308400
283626,4308392
283639,4308405
283637,4308403
283643,4308409
283641,4308407
283642,4308408
283636,4308402
283635,4308401
283638,4308404
283640,4308406
283648,4308414
283650,4308416
283649,4308415
283645,4308411
283652,4308418
283646,4308412
283647,4308413
283644,4308410
283651,4308417
283660,4308426
283658,4308424
283653,4308419
283654,4308420
283655,4308421
283659,4308425
283661,4308427
283657,4308423
283656,4308422
283662,4308428
283668,4308434
283670,4308436
283665,4308431
283664,4308430
283669,4308435
283667,4308433
283666,4308432
283663,4308429
283679,4308445
283673,4308439
283671,4308437
283676,4308442
283678,4308444
283675,4308441
283672,4308438
283674,4308440
283677,4308443
283686,4308452
283680,4308446
283681,4308447
283684,4308450
283687,4308453
283688,4308454
283685,4308451
283683,4308449
283682,4308448
283689,4308455
283697,4308463
283690,4308456
283696,4308462
283693,4308459
283692,4308458
283691,4308457
283694,4308460
283695,4308461
283700,4308466
283706,4308472
283701,4308467
283699,4308465
283704,4308470
283705,4308471
283698,4308464
283702,4308468
283703,4308469
283714,4308480
283711,4308477
283710,4308476
283712,4308478
283707,4308473
283713,4308479
283708,4308474
283709,4308475
283715,4308481
283716,4308482
283721,4308487
283724,4308490
283720,4308486
283723,4308489
283718,4308484
283722,4308488
283719,4308485
283717,4308483
283729,4308495
283732,4308498
283733,4308499
283730,4308496
283727,4308493
283728,4308494
283725,4308491
283726,4308492
283731,4308497
283737,4308503
283741,4308507
283742,4308508
283738,4308504
283736,4308502
283739,4308505
283740,4308506
283734,4308500
283735,4308501
283745,4308511
283750,4308516
283743,4308509
283746,4308512
283744,4308510
283747,4308513
283749,4308515
283748,4308514
283751,4308517
283752,4308518
283757,4308523
283756,4308522
283753,4308519
283758,4308524
283754,4308520
283759,4308525
283755,4308521
283760,4308526
283762,4308528
283764,4308530
283766,4308532
283769,4308535
283767,4308533
283768,4308534
283763,4308529
283765,4308531
283761,4308527
283773,4308539
283776,4308542
283777,4308543
283772,4308538
283778,4308544
283770,4308536
283774,4308540
283775,4308541
283771,4308537
283785,4308551
283783,4308549
283781,4308547
283784,4308550
283779,4308545
283780,4308546
283786,4308552
283787,4308553
283782,4308548
283794,4308560
283793,4308559
283788,4308554
283796,4308562
283792,4308558
283795,4308561
283790,4308556
283791,4308557
283789,4308555
283800,4308566
283804,4308570
283798,4308564
283802,4308568
283797,4308563
283805,4308571
283801,4308567
283799,4308565
283803,4308569
283807,4308573
283808,4308574
283812,4308578
283810,4308576
283814,4308580
283811,4308577
283809,4308575
283813,4308579
283806,4308572
283823,4308589
283815,4308581
283821,4308587
283816,4308582
283818,4308584
283820,4308586
283817,4308583
283822,4308588
283819,4308585
283828,4308594
283827,4308593
283831,4308597
283830,4308596
283832,4308598
283829,4308595
283826,4308592
283824,4308590
283825,4308591
283834,4308600
283835,4308601
283840,4308606
283839,4308605
283833,4308599
283836,4308602
283841,4308607
283837,4308603
283838,4308604
283844,4308610
283846,4308612
283850,4308616
283848,4308614
283843,4308609
283849,4308615
283842,4308608
283845,4308611
283847,4308613
283855,4308621
283853,4308619
283854,4308620
283856,4308622
283857,4308623
283852,4308618
283859,4308625
283858,4308624
283851,4308617
