318099,4498748
318090,4498739
318093,4498742
318096,4498745
318092,4498741
318091,4498740
318097,4498746
318094,4498743
318098,4498747
318095,4498744
318109,4498758
318102,4498751
318103,4498752
318108,4498757
318100,4498749
318101,4498750
318106,4498755
318104,4498753
318105,4498754
318107,4498756
318111,4498760
318118,4498767
318117,4498766
318113,4498762
318112,4498761
318114,4498763
318110,4498759
318119,4498768
318115,4498764
318116,4498765
318127,4498776
318121,4498770
318125,4498774
318120,4498769
318126,4498775
318128,4498777
318123,4498772
318129,4498778
318124,4498773
318122,4498771
318132,4498781
318130,4498779
318136,4498785
318134,4498783
318131,4498780
318137,4498786
318133,4498782
318135,4498784
318139,4498788
318138,4498787
318144,4498793
318145,4498794
318142,4498791
318141,4498790
318147,4498796
318148,4498797
318149,4498798
318140,4498789
318143,4498792
318146,4498795
318153,4498802
318151,4498800
318157,4498806
318156,4498805
318155,4498804
318159,4498808
318152,4498801
318154,4498803
318158,4498807
318150,4498799
318160,4498809
318169,4498818
318168,4498817
318161,4498810
318163,4498812
318166,4498815
318162,4498811
318164,4498813
318165,4498814
318167,4498816
318175,4498824
318173,4498822
318179,4498828
318178,4498827
318170,4498819
318176,4498825
318177,4498826
318174,4498823
318171,4498820
318172,4498821
318186,4498835
318180,4498829
318182,4498831
318183,4498832
318184,4498833
318181,4498830
318187,4498836
318188,4498837
318185,4498834
318189,4498838
318190,4498839
318198,4498847
318194,4498843
318193,4498842
318192,4498841
318191,4498840
318197,4498846
318199,4498848
318196,4498845
318195,4498844
318207,4498856
318205,4498854
318203,4498852
318202,4498851
318201,4498850
318204,4498853
318200,4498849
318208,4498857
318209,4498858
318206,4498855
318218,4498867
318217,4498866
318216,4498865
318210,4498859
318211,4498860
318219,4498868
318215,4498864
318213,4498862
318212,4498861
318214,4498863
318229,4498878
318224,4498873
318228,4498877
318225,4498874
318227,4498876
318222,4498871
318220,4498869
318226,4498875
318223,4498872
318221,4498870
318239,4498888
318233,4498882
318231,4498880
318232,4498881
318235,4498884
318234,4498883
318230,4498879
318236,4498885
318237,4498886
318238,4498887
318241,4498890
318246,4498895
318249,4498898
318248,4498897
318243,4498892
318240,4498889
318247,4498896
318245,4498894
318242,4498891
318244,4498893
318251,4498900
318253,4498902
318252,4498901
318258,4498907
318250,4498899
318259,4498908
318255,4498904
318254,4498903
318257,4498906
318256,4498905
318261,4498910
318269,4498918
318260,4498909
318267,4498916
318265,4498914
318263,4498912
318268,4498917
318264,4498913
318262,4498911
318266,4498915
318271,4498920
318270,4498919
318273,4498922
318276,4498925
318274,4498923
318277,4498926
318279,4498928
318278,4498927
318272,4498921
318275,4498924
318283,4498932
318280,4498929
318281,4498930
318285,4498934
318282,4498931
318288,4498937
318284,4498933
318286,4498935
318289,4498938
318287,4498936
318291,4498940
318294,4498943
318296,4498945
318292,4498941
318293,4498942
318297,4498946
318290,4498939
318295,4498944
318299,4498948
318298,4498947
318303,4498952
318300,4498949
318305,4498954
318309,4498958
318302,4498951
318308,4498957
318306,4498955
318301,4498950
318304,4498953
318307,4498956
318316,4498965
318314,4498963
318313,4498962
318312,4498961
318317,4498966
318311,4498960
318310,4498959
318319,4498968
318315,4498964
318318,4498967
318323,4498972
318320,4498969
318325,4498974
318329,4498978
318327,4498976
318328,4498977
318324,4498973
318321,4498970
318326,4498975
318322,4498971
318334,4498983
318336,4498985
318337,4498986
318332,4498981
318331,4498980
318330,4498979
318335,4498984
318333,4498982
318339,4498988
318338,4498987
318340,4498989
318345,4498994
318349,4498998
318348,4498997
318343,4498992
318347,4498996
318342,4498991
318346,4498995
318341,4498990
318344,4498993
318354,4499003
318356,4499005
318352,4499001
318357,4499006
318351,4499000
318350,4498999
318353,4499002
318355,4499004
318359,4499008
318358,4499007
318368,4499017
318360,4499009
318365,4499014
318369,4499018
318363,4499012
318364,4499013
318367,4499016
318361,4499010
318366,4499015
318362,4499011
318374,4499023
318376,4499025
318377,4499026
318372,4499021
318375,4499024
318371,4499020
318370,4499019
318379,4499028
318373,4499022
318378,4499027
318380,4499029
318385,4499034
318389,4499038
318388,4499037
318383,4499032
318386,4499035
318384,4499033
318381,4499030
318387,4499036
318382,4499031
318396,4499045
318394,4499043
318392,4499041
318397,4499046
318391,4499040
318390,4499039
318395,4499044
318393,4499042
318399,4499048
318398,4499047
318405,4499054
318400,4499049
318409,4499058
318408,4499057
318403,4499052
318402,4499051
318406,4499055
318407,4499056
318401,4499050
318404,4499053
318417,4499066
318416,4499065
318414,4499063
318412,4499061
318411,4499060
318415,4499064
318410,4499059
318419,4499068
318413,4499062
318418,4499067
318428,4499077
318425,4499074
318420,4499069
318429,4499078
318427,4499076
318423,4499072
318421,4499070
318422,4499071
318426,4499075
318424,4499073
318437,4499086
318436,4499085
318434,4499083
318438,4499087
318432,4499081
318431,4499080
318430,4499079
318435,4499084
318433,4499082
318439,4499088
318449,4499098
318440,4499089
318445,4499094
318448,4499097
318447,4499096
318443,4499092
318441,4499090
318442,4499091
318444,4499093
318446,4499095
318457,4499106
318456,4499105
318454,4499103
318458,4499107
318452,4499101
318455,4499104
318450,4499099
318451,4499100
318459,4499108
318453,4499102
318469,4499118
318460,4499109
318465,4499114
318468,4499117
318467,4499116
318463,4499112
318461,4499110
318462,4499111
318466,4499115
318464,4499113
