318964,4499653
318966,4499655
318963,4499652
318965,4499654
318960,4499649
318967,4499656
318961,4499650
318962,4499651
318969,4499658
318971,4499660
318974,4499663
318968,4499657
318970,4499659
318972,4499661
318973,4499662
318975,4499664
318983,4499672
318981,4499670
318976,4499665
318982,4499671
318980,4499669
318977,4499666
318978,4499667
318979,4499668
318987,4499676
318986,4499675
318989,4499678
318990,4499679
318988,4499677
318984,4499673
318991,4499680
318985,4499674
318998,4499687
318993,4499682
318994,4499683
318997,4499686
318999,4499688
318992,4499681
318995,4499684
318996,4499685
319005,4499694
319007,4499696
319002,4499691
319000,4499689
319006,4499695
319001,4499690
319004,4499693
319003,4499692
319015,4499704
319008,4499697
319010,4499699
319011,4499700
319014,4499703
319009,4499698
319012,4499701
319013,4499702
319023,4499712
319017,4499706
319016,4499705
319018,4499707
319020,4499709
319019,4499708
319022,4499711
319021,4499710
319025,4499714
319027,4499716
319028,4499717
319031,4499720
319026,4499715
319024,4499713
319029,4499718
319030,4499719
318777,4499722
318779,4499724
318780,4499725
318778,4499723
318782,4499727
318776,4499721
318781,4499726
318783,4499728
318786,4499731
318788,4499733
318789,4499734
318784,4499729
318785,4499730
318787,4499732
318790,4499735
318791,4499736
318795,4499740
318794,4499739
318797,4499742
318796,4499741
318792,4499737
318798,4499743
318799,4499744
318793,4499738
318803,4499748
318805,4499750
318801,4499746
318806,4499751
318800,4499745
318804,4499749
318802,4499747
318807,4499752
318813,4499758
318815,4499760
318814,4499759
318812,4499757
318810,4499755
318808,4499753
318809,4499754
318811,4499756
318820,4499765
318822,4499767
318823,4499768
318818,4499763
318817,4499762
318819,4499764
318821,4499766
318816,4499761
318825,4499770
318824,4499769
318831,4499776
318830,4499775
318826,4499771
318828,4499773
318827,4499772
318829,4499774
318837,4499782
318839,4499784
318835,4499780
318833,4499778
318838,4499783
318836,4499781
318832,4499777
318834,4499779
318847,4499792
318845,4499790
318843,4499788
318841,4499786
318846,4499791
318844,4499789
318840,4499785
318842,4499787
318850,4499795
318852,4499797
318851,4499796
318853,4499798
318849,4499794
318848,4499793
318855,4499800
318854,4499799
318863,4499808
318861,4499806
318858,4499803
318856,4499801
318862,4499807
318860,4499805
318859,4499804
318857,4499802
318866,4499811
318868,4499813
318865,4499810
318864,4499809
318869,4499814
318867,4499812
318871,4499816
318870,4499815
318878,4499823
318876,4499821
318877,4499822
318875,4499820
318873,4499818
318874,4499819
318879,4499824
318872,4499817
318881,4499826
318884,4499829
318880,4499825
318883,4499828
318885,4499830
318882,4499827
318887,4499832
318886,4499831
318893,4499838
318894,4499839
318891,4499836
318888,4499833
318892,4499837
318890,4499835
318889,4499834
318895,4499840
318899,4499844
318901,4499846
318900,4499845
318897,4499842
318896,4499841
318898,4499843
318902,4499847
318903,4499848
318908,4499853
318906,4499851
318907,4499852
318905,4499850
318909,4499854
318904,4499849
318911,4499856
318910,4499855
318917,4499862
318915,4499860
318913,4499858
318912,4499857
318914,4499859
318916,4499861
318919,4499864
318918,4499863
318923,4499868
318921,4499866
318922,4499867
318920,4499865
318924,4499869
318926,4499871
318927,4499872
318925,4499870
318931,4499876
318929,4499874
318928,4499873
318933,4499878
318930,4499875
318932,4499877
318935,4499880
318934,4499879
318938,4499883
318936,4499881
318937,4499882
318939,4499884
318941,4499886
318943,4499888
318942,4499887
318940,4499885
318947,4499892
318945,4499890
318949,4499894
318944,4499889
318950,4499895
318948,4499893
318946,4499891
318951,4499896
318953,4499898
318959,4499904
318952,4499897
318954,4499899
318956,4499901
318957,4499902
318955,4499900
318958,4499903
319035,4499908
319033,4499906
319037,4499910
319032,4499905
319038,4499911
319034,4499907
319036,4499909
319039,4499912
319047,4499920
319046,4499919
319040,4499913
319041,4499914
319043,4499916
319044,4499917
319045,4499918
319042,4499915
